Date,Open,High,Low,Close,Volume
09/09/2021,"47.34","49.35","47.06","48.66","300,420"
09/08/2021,"47.72","48.00","46.12","47.55","232,185"
09/07/2021,"47.41","48.55","46.91","47.92","174,787"
09/03/2021,"48.01","48.31","46.92","47.36","170,941"
09/02/2021,"48.27","48.82","47.76","48.00","364,130"
09/01/2021,"48.00","48.46","47.33","47.98","283,304"
08/31/2021,"46.55","48.00","46.07","47.80","231,676"
08/30/2021,"47.26","47.46","46.09","46.49","148,918"
08/27/2021,"46.56","47.85","46.19","46.90","181,190"
08/26/2021,"46.50","47.45","45.80","46.50","193,656"
08/25/2021,"47.35","47.35","45.49","46.27","158,197"
08/24/2021,"46.38","47.39","46.11","47.34","170,241"
08/23/2021,"44.75","46.27","44.57","46.17","283,451"
08/20/2021,"41.88","44.64","41.82","44.44","283,266"
08/19/2021,"44.63","44.74","41.66","41.91","250,943"
08/18/2021,"43.98","45.08","43.00","44.72","327,046"
08/17/2021,"44.94","45.40","43.49","43.63","371,970"
08/16/2021,"45.38","45.99","45.21","45.44","260,492"
08/13/2021,"45.93","46.30","44.95","45.59","259,638"
08/12/2021,"45.61","46.37","44.30","46.15","356,710"
08/11/2021,"47.92","48.31","45.60","46.00","487,550"
08/10/2021,"50.00","50.18","47.90","47.94","231,846"
08/09/2021,"49.92","50.95","49.01","49.56","347,808"
08/06/2021,"49.35","50.22","46.82","50.05","764,269"
08/05/2021,"49.44","49.83","48.02","48.29","629,170"
08/04/2021,"51.02","52.32","49.63","49.72","266,944"
08/03/2021,"50.63","51.97","50.23","51.10","385,910"
08/02/2021,"51.53","51.73","50.69","50.80","288,104"
07/30/2021,"50.92","51.83","50.92","51.12","163,019"
07/29/2021,"52.37","52.43","50.59","51.15","258,784"
07/28/2021,"50.58","52.75","50.58","52.24","282,299"
07/27/2021,"49.97","50.93","49.50","50.50","303,120"
07/26/2021,"50.09","50.37","48.71","50.36","522,021"
07/23/2021,"51.51","51.93","49.02","50.09","268,710"
07/22/2021,"52.76","53.20","50.53","51.18","397,853"
07/21/2021,"52.70","53.28","51.75","52.61","224,151"
07/20/2021,"52.26","53.49","52.25","52.45","353,503"
07/19/2021,"52.05","53.00","49.76","52.00","432,372"
07/16/2021,"53.91","54.92","52.97","53.06","379,298"
07/15/2021,"53.97","54.87","53.12","53.57","607,457"
07/14/2021,"59.00","60.20","53.56","53.90","1,008,381"
07/13/2021,"59.50","59.96","57.57","59.07","397,217"
07/12/2021,"61.51","61.71","58.50","59.45","660,451"
07/09/2021,"62.31","63.00","61.50","61.77","263,187"
07/08/2021,"59.52","63.48","59.05","62.27","367,996"
07/07/2021,"62.96","63.37","60.25","60.52","531,499"
07/06/2021,"63.71","63.78","62.11","62.90","243,992"
07/02/2021,"63.83","63.99","62.24","63.13","300,200"
07/01/2021,"66.25","67.28","63.16","63.75","435,411"
06/30/2021,"65.36","66.68","63.99","66.35","410,735"
06/29/2021,"65.65","66.15","64.12","65.02","309,416"
06/28/2021,"67.49","68.63","65.09","65.65","347,502"
06/25/2021,"66.80","68.48","65.04","67.32","592,095"
06/24/2021,"63.97","67.29","63.89","66.44","542,610"
06/23/2021,"63.21","64.10","62.79","63.55","578,292"
06/22/2021,"63.24","63.79","62.23","63.56","322,883"
06/21/2021,"64.47","64.91","62.06","63.04","393,330"
06/18/2021,"63.23","68.74","63.23","64.91","1,738,545"
06/17/2021,"63.25","64.62","62.53","63.60","463,488"
06/16/2021,"62.85","64.10","61.80","63.24","413,494"
06/15/2021,"63.41","64.47","62.60","63.19","498,406"
06/14/2021,"64.07","65.48","63.47","63.50","443,235"
06/11/2021,"64.48","65.32","63.90","63.90","423,137"
06/10/2021,"61.12","64.38","61.00","63.90","1,369,330"
06/09/2021,"64.58","65.35","63.09","63.10","606,516"
06/08/2021,"64.74","65.35","62.68","63.76","582,795"
06/07/2021,"62.45","64.88","61.95","64.29","663,219"
06/04/2021,"62.33","63.06","61.16","62.09","793,723"
06/03/2021,"62.55","63.79","60.77","61.80","1,307,543"
06/02/2021,"62.00","64.75","59.64","62.77","3,600,421"
06/01/2021,"75.54","77.32","75.28","76.25","479,037"
05/28/2021,"74.14","78.00","74.14","75.46","347,489"
05/27/2021,"74.52","75.21","73.80","75.20","555,011"
05/26/2021,"73.64","74.85","72.85","74.14","477,562"
05/25/2021,"74.50","76.18","73.52","73.58","413,526"
05/24/2021,"74.86","76.61","74.02","74.48","289,022"
05/21/2021,"77.16","77.16","72.77","74.04","523,924"
05/20/2021,"75.18","76.51","73.86","76.33","283,662"
05/19/2021,"73.34","75.22","72.81","74.95","330,496"
05/18/2021,"73.79","77.61","73.78","74.96","566,270"
05/17/2021,"79.25","80.44","72.16","74.18","730,090"
05/14/2021,"77.69","82.62","77.20","81.31","1,045,261"
05/13/2021,"76.20","79.52","75.32","77.24","667,833"
05/12/2021,"74.26","77.08","73.98","76.00","545,383"
05/11/2021,"75.41","79.75","72.73","76.94","424,385"
05/10/2021,"78.54","80.86","76.72","77.95","534,948"
05/07/2021,"75.00","83.72","72.28","80.00","1,260,350"
05/06/2021,"74.19","75.43","70.56","74.92","540,264"
05/05/2021,"72.67","77.43","72.16","74.82","738,170"
05/04/2021,"74.81","74.81","70.35","72.11","694,419"
05/03/2021,"78.07","78.97","74.68","75.13","462,458"
04/30/2021,"76.94","78.34","76.00","77.86","525,929"
04/29/2021,"80.00","80.55","76.14","76.91","511,389"
04/28/2021,"79.50","80.17","77.20","79.83","696,548"
04/27/2021,"83.07","83.07","79.13","79.59","803,419"
04/26/2021,"80.94","84.31","78.87","82.63","1,167,937"
04/23/2021,"82.23","83.23","79.02","79.73","1,075,751"
04/22/2021,"85.16","85.80","80.79","82.72","409,015"
04/21/2021,"82.06","85.88","81.73","84.25","679,926"
04/20/2021,"88.88","91.51","81.57","82.24","629,067"
04/19/2021,"90.25","92.12","88.77","89.58","511,909"
04/16/2021,"90.63","91.61","89.61","90.94","541,392"
04/15/2021,"92.88","94.79","90.30","90.76","705,625"
